"","WorldFile","Decision making","Number of Seasons","RandomSeed","Tolerance for Loss","Belief in Social Sanctions","Simulate CAMP?","ROI Tolerance","Social Connections","Belief in Economic Sanctions","Length of sim (sec)","Infra Changes, Yr 1","Infra Changes, Yr 2","Infra Changes, Yr 3","Infra Changes, Yr 4","Infra Changes, Yr 5","Infra Changes, Yr 6","Infra Changes, Yr 7","Infra Changes, Yr 8","Infra Changes, Yr 9","Infra Changes, Yr 10","Infra Changes, Yr 11","Infra Changes, Yr 12","Infra Changes, Yr 13","Infra Changes, Yr 14","Infra Changes, Yr 15","Infra Changes, Yr 16","Infra Changes, Yr 17","Infra Changes, Yr 18","Infra Changes, Yr 19","Infra Changes, Yr 20","Turtles","Potatoes","Beets","Alfalfa","Alf-Per","Alf-Tot","Spr-Wht","Wint-Wht","Corn","Grain","Barley","Total"
"1","""Aberdeen-American Falls GWD_EmptyWorld_Run 1_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,8108.942,427,215,113,156,126,72,107,61,40,59,139,141,17,21,25,30,21,21,25,12,1467,3507,4366,2136,8634,10770,1640,0,2509,4149,4648,27440
"2","""Aberdeen-American Falls GWD_EmptyWorld_Run 1_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,17438.251,104,15,104,4,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1467,2836,3050,2694,8530,11224,4008,0,3967,7975,2355,27440
"3","""Aberdeen-American Falls GWD_EmptyWorld_Run 1_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,7323.976,129,14,26,0,0,0,0,0,0,0,0,195,0,0,0,63,0,0,0,0,1467,25056,2330,0,0,0,54,0,0,54,0,27440
"4","""Aberdeen-American Falls GWD_EmptyWorld_Run 2_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,2734.189,438,211,116,120,103,81,101,70,36,38,137,141,18,22,26,29,21,15,16,12,1467,3791,4563,1986,8069,10055,2492,0,1884,4376,4735,27520
"5","""Aberdeen-American Falls GWD_EmptyWorld_Run 2_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,41016.818,121,12,110,18,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1467,3497,3115,2524,8088,10612,4166,0,3789,7955,2341,27520
"6","""Aberdeen-American Falls GWD_EmptyWorld_Run 2_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,4370.424,157,0,1,0,0,0,0,0,2,0,0,82,90,0,0,0,0,45,0,0,1467,25214,2189,0,0,0,117,0,0,117,0,27520
"7","""Aberdeen-American Falls GWD_EmptyWorld_Run 3_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,2256.831,444,208,115,112,117,60,91,68,50,27,142,149,10,10,25,11,19,19,10,13,1467,4100,3985,2081,8203,10284,2257,0,2108,4365,4546,27280
"8","""Aberdeen-American Falls GWD_EmptyWorld_Run 3_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,1890.069,93,16,102,24,6,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1467,3078,2929,2554,8390,10944,4400,0,3702,8102,2227,27280
"9","""Aberdeen-American Falls GWD_EmptyWorld_Run 3_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,12789.376,154,0,4,0,0,0,0,0,0,0,0,124,0,105,0,0,0,0,0,0,1467,24780,2383,0,0,0,117,0,0,117,0,27280
"10","""Magic Valley GWD_EmptyWorld_Run 1_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,27822.895,459,107,127,67,85,60,67,29,32,33,96,108,11,22,25,13,14,20,13,11,1585,5054,6113,712,2527,3239,4180,0,1966,6146,7808,28360
"11","""Magic Valley GWD_EmptyWorld_Run 1_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,5458.784,67,9,12,1,8,3,3,1,1,1,13,0,0,0,0,0,0,0,0,0,1585,7396,4970,1773,5391,7164,3926,0,2178,6104,2726,28360
"12","""Magic Valley GWD_EmptyWorld_Run 1_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,4655.554,128,24,6,0,0,0,0,0,0,0,0,29,88,0,0,0,0,0,0,0,1585,27304,1056,0,0,0,0,0,0,0,0,28360
"13","""Magic Valley GWD_EmptyWorld_Run 2_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,13077.556,452,103,118,73,79,60,74,43,31,22,113,102,13,36,22,18,15,22,15,11,1585,4837,7057,651,2237,2888,3888,0,1798,5686,7892,28360
"14","""Magic Valley GWD_EmptyWorld_Run 2_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,10054.669,76,10,17,3,8,1,2,1,0,1,11,0,0,0,0,0,0,0,0,0,1585,8319,5168,1501,4438,5939,3861,0,2102,5963,2971,28360
"15","""Magic Valley GWD_EmptyWorld_Run 2_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,11913.529,101,37,13,0,0,0,0,0,0,0,0,105,0,0,0,0,15,0,0,0,1585,27355,996,0,0,0,9,0,0,9,0,28360
"16","""Magic Valley GWD_EmptyWorld_Run 3_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,21156.298,469,115,116,80,59,53,89,45,32,39,99,117,14,20,17,22,15,11,12,13,1585,5765,5992,590,1961,2551,4363,0,1925,6288,7884,28480
"17","""Magic Valley GWD_EmptyWorld_Run 3_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,3735.149,71,7,27,5,10,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1585,7751,4623,1596,4958,6554,4483,0,2190,6673,2879,28480
"18","""Magic Valley GWD_EmptyWorld_Run 3_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,1830.604,117,30,7,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,3,1585,27498,982,0,0,0,0,0,0,0,0,28480
"19","""North Snake GWD_EmptyWorld_Run 1_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,3184.714,399,235,153,164,87,78,69,39,29,28,111,138,13,12,11,8,17,6,12,16,1481,4879,5613,1304,4702,6006,1002,0,1385,2387,4115,23000
"20","""North Snake GWD_EmptyWorld_Run 1_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,31508.716,78,9,68,6,18,14,6,1,2,0,23,0,0,0,0,0,0,0,0,0,1481,2834,2567,2575,7717,10292,2378,0,2465,4843,2464,23000
"21","""North Snake GWD_EmptyWorld_Run 1_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,11358.337,132,0,3,0,0,0,0,0,0,0,0,376,5,0,13,0,0,0,0,0,1481,14111,2049,0,0,0,6840,0,0,6840,0,23000
"22","""North Snake GWD_EmptyWorld_Run 2_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,2285.319,408,254,185,142,91,63,66,27,26,25,135,141,24,12,25,19,13,13,12,12,1481,4427,6400,1321,4834,6155,902,0,1220,2122,3976,23080
"23","""North Snake GWD_EmptyWorld_Run 2_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,4500.615,99,5,69,6,21,14,1,0,7,2,14,0,0,0,0,0,0,0,0,0,1481,2317,2751,2677,8252,10929,2447,0,2406,4853,2230,23080
"24","""North Snake GWD_EmptyWorld_Run 2_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,9178.297,112,7,11,13,1,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,1481,13478,2654,0,0,0,6948,0,0,6948,0,23080
"25","""North Snake GWD_EmptyWorld_Run 3_InformedRotations""","""Theory of Planned Behavior""",20,15,5000,0.5,TRUE,5,3,0.5,8100.629,392,250,179,135,100,75,73,30,23,29,111,129,17,20,10,14,18,10,10,11,1481,4936,5811,1173,4265,5438,1330,0,1487,2817,3978,22980
"26","""North Snake GWD_EmptyWorld_Run 3_InformedRotations""","""IAC Framework""",20,15,5000,0.5,TRUE,5,3,0.5,7843.204,87,6,63,11,16,16,7,8,4,0,20,0,0,0,0,0,0,0,0,0,1481,3024,2822,2354,7335,9689,2782,0,2441,5223,2222,22980
"27","""North Snake GWD_EmptyWorld_Run 3_InformedRotations""","""Rational Actor Theory""",20,15,5000,0.5,TRUE,5,3,0.5,9736.725,125,9,12,25,0,0,0,0,0,0,0,348,6,29,0,0,0,0,0,0,1481,13464,2460,0,0,0,7056,0,0,7056,0,22980
